user,gt_label,total_logins,unique_days,after_hours,unique_machines,usb_count,usb_days,employee_name,user_id,O,C,E,A,N,anomaly_score,anomaly_label,y_true,y_pred
SOF0808,0,37,19,18,1,0.0,0.0,Steel Orson Fields,SOF0808,45,40,38,22,27,0.2051451497783614,0,0,0
JRG0207,1,38,19,19,1,0.0,0.0,Joseph Raja Gaines,JRG0207,42,37,40,21,27,0.2049671920452902,0,1,0
FDE0117,0,37,19,18,1,0.0,0.0,Fritz Dale Ellison,FDE0117,38,37,32,41,28,0.2048176391414022,0,0,0
HIA0414,0,37,19,11,1,0.0,0.0,Herman Ian Abbott,HIA0414,38,39,39,18,31,0.2045127746578223,0,0,0
CKH0144,0,37,19,19,1,0.0,0.0,Chloe Keiko Holland,CKH0144,34,22,22,35,30,0.2043041376584564,0,0,0
EPW0434,0,37,19,13,1,0.0,0.0,Ethan Perry Wiggins,EPW0434,32,36,38,22,33,0.2042828253897979,0,0,0
NJC0705,0,37,19,19,1,0.0,0.0,Nicolas James Cantu,NJC0705,43,39,29,36,31,0.203945814869479,0,0,0
BSS0463,0,37,19,11,1,0.0,0.0,Bruno Stewart Silva,BSS0463,32,40,40,38,28,0.2039036215344697,0,0,0
HTF0641,0,37,19,18,1,0.0,0.0,Hilel Tobias Flynn,HTF0641,38,24,18,22,28,0.2035814588070764,0,0,0
FQA0854,0,37,19,19,1,0.0,0.0,Fulton Quinn Avery,FQA0854,41,38,30,34,26,0.2030276028234528,0,0,0
RRA0938,0,53,19,19,1,0.0,0.0,Rogan Reuben Alexander,RRA0938,35,36,21,38,29,0.2030206292119855,0,0,0
DRR0162,1,38,19,19,1,0.0,0.0,Dante Raja Roberts,DRR0162,45,36,20,36,29,0.2029386920271045,0,1,0
DLH0029,0,37,19,20,1,0.0,0.0,Diana Leigh Hays,DLH0029,36,26,38,18,31,0.2026095359137645,0,0,0
DLF0377,0,38,19,11,1,0.0,0.0,Dean Lester Figueroa,DLF0377,39,35,19,27,34,0.2025767000340968,0,0,0
ZSK0258,0,37,19,19,1,0.0,0.0,Zachery Samson Kerr,ZSK0258,38,35,21,37,25,0.2023429342809475,0,0,0
IDO0176,0,38,19,19,1,0.0,0.0,Ira Dustin Oneill,IDO0176,34,39,40,24,26,0.2021303335511309,0,0,0
ARL0034,0,38,19,19,1,0.0,0.0,August Ronan Lucas,ARL0034,41,39,27,21,26,0.2018818548713087,0,0,0
EBC0390,0,38,19,10,1,0.0,0.0,Eaton Burton Crane,EBC0390,40,40,40,22,33,0.2017916129478361,0,0,0
PLH0862,0,37,19,19,1,0.0,0.0,Prescott Laith Harding,PLH0862,32,37,25,16,32,0.2017072103055822,0,0,0
CSL0949,0,38,19,19,1,0.0,0.0,Cameron Shay Lester,CSL0949,36,20,18,25,28,0.2015954571222789,0,0,0
VEB0935,0,38,19,19,1,0.0,0.0,Valentine Elton Britt,VEB0935,46,37,39,20,32,0.2014804681158664,0,0,0
DCC0160,0,37,19,19,1,0.0,0.0,Donovan Carlos Chapman,DCC0160,36,39,33,42,27,0.2011180875992935,0,0,0
DBB0384,0,38,19,13,1,0.0,0.0,Demetrius Barry Bullock,DBB0384,40,41,28,37,27,0.201106820608924,0,0,0
JMW0638,0,37,19,18,1,0.0,0.0,Jonah Merritt Wilder,JMW0638,43,21,30,18,30,0.2008407641462199,0,0,0
MKP0861,0,53,19,19,1,0.0,0.0,Macon Kyle Pope,MKP0861,36,42,39,34,29,0.2003342617086928,0,0,0
HFB0347,0,37,19,19,1,0.0,0.0,Heather Fredericka Baird,HFB0347,34,20,30,30,27,0.2001515799733163,0,0,0
HMW0713,0,37,19,19,1,0.0,0.0,Heidi Mia Wilson,HMW0713,38,24,40,36,28,0.2001326025662506,0,0,0
HDH0928,0,37,19,18,1,0.0,0.0,Hashim Damon Hebert,HDH0928,40,36,20,40,26,0.2001032118676862,0,0,0
AKC0924,0,37,19,18,1,0.0,0.0,Amena Karyn Christian,AKC0924,40,44,35,37,27,0.2000940099658937,0,0,0
HAH0248,0,37,19,10,1,0.0,0.0,Hector Abraham Hayes,HAH0248,33,43,22,18,29,0.2000670841349741,0,0,0
GCC0744,0,37,19,11,1,0.0,0.0,Grady Craig Coffey,GCC0744,35,42,15,25,31,0.1999356357639027,0,0,0
SNC0187,0,37,19,19,1,0.0,0.0,Stuart Nicolas Cervantes,SNC0187,40,41,42,30,27,0.1998555118767006,0,0,0
JCV0245,0,37,19,11,1,0.0,0.0,James Cain Vargas,JCV0245,40,44,22,20,27,0.1997957479821322,0,0,0
WAB0143,0,37,19,19,1,0.0,0.0,William Aladdin Bennett,WAB0143,43,43,24,22,33,0.1997335731943926,0,0,0
CCM0855,0,37,19,19,1,0.0,0.0,Chanda Celeste Mosley,CCM0855,31,24,19,36,29,0.1997197794406018,0,0,0
EZH0736,0,37,19,12,1,0.0,0.0,Elton Zeus Horton,EZH0736,44,41,37,19,31,0.1997066082616298,0,0,0
HPM0986,0,37,19,19,1,0.0,0.0,Hasad Paki Mcfadden,HPM0986,41,36,38,23,24,0.1996886293263108,0,0,0
